root	gloss_fil	pos	source
gato		noun-verb	Samson p318 [unknown/low]
gatpanapun		N	PALI:gatpana’pun
gatu		N	PALI:ga’tu
gatus			Samson p319 [unknown/low]
gaua			Samson p319 [dictionary_explicit/high]
gauang			Samson p319 [unknown/low]
gauc			Samson p319 [dictionary_explicit/high]
gaud		noun	Samson p319 [dictionary_explicit/high]
gaue		noun	Samson p319 [unknown/low]
gaui		adjective	Samson p319 [unknown/low]
gauo			Samson p320 [unknown/low]
gawa		V	PALI:gawa’q
gawagawa		V./D./St	PALI:gawa:gawa’q
gawi		N./St	PALI:gawi’q
gayac		noun	Samson p320 [dictionary_explicit/high]
gayad		N	PALI:ga’yad
gayaga		adjective	Samson p320 [unknown/low]
gayak		V	PALI:gaya’k
gayang		noun	Samson p320 [dictionary_explicit/high]
gayo		noun-verb	Samson p320 [dictionary_explicit/high]
gayud			Samson p320 [unknown/low]
gayuma		N	PALI:gayu’ma
gayut		noun	Samson p320 [unknown/low]
ge			Samson p320 [dictionary_explicit/high]
gege		V	PALI:ge’ge
gendu			PALI:gendu’q
gera		N	PALI:ge’ra
gerilya		N	PALI:geri’lya
gerra		noun	Samson p320 [unknown/low]
gerrero		noun	Samson p321 [dictionary_explicit/high]
gerrilia			Samson p321 [unknown/low]
gewa			Mirikitani p918 [unknown/low]
giagis		noun	Samson p321 [unknown/low]
gigit		V	PALI:gigi’t
gigut		V	PALI:gi’gut
gilagid		N	PALI:gila’gid
gili		N	PALI:gili’q
gilid		N	PALI:gi’lid
giligit		V	PALI:giligi’t
giling		V	PALI:gili’ng
ginilan			Samson p321 [dictionary_explicit/high]
ginot			Samson p323 [unknown/low]
gintu		N./D	PALI:gintu’
ginu			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gion		noun	Samson p323 [unknown/low]
gipit			Samson p323 [unknown/low]
gipu		adjective	Samson p323 [unknown/low]
gipus		adjective	Samson p323 [unknown/low]
giram		noun	Samson p323 [unknown/low]
gire			Samson p323 [unknown/low]
giri			Samson p323 [dictionary_explicit/high]
girimil		N	PALI:gi’rimi’l
giripu			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gisa		verb	Samson p323 [unknown/low]
gisadu			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gisan		St./D	PALI:gi’san
gisantes		noun	Samson p323 [unknown/low]
gisantis		N	PALI:gisa’ntis
gisi		adjective	Samson p323 [dictionary_explicit/high]
gising		St./D	PALI:gi’sing
gitad			Samson p324 [unknown/low]
gitang		noun	Samson p324 [unknown/low]
gitara		N	PALI:gita’ra
gitata		noun	Samson p324 [unknown/low]
gitil		noun	Samson p324 [dictionary_explicit/high]
giting		D./St	PALI:giti’ng
gitis			Samson p324 [dictionary_explicit/high]
gitle		adjective	Samson p324 [dictionary_explicit/high]
giua		noun	Samson p324 [dictionary_explicit/high]
giya		N	PALI:giya’
glaukoma		noun	Samson p324 [unknown/low]
globo		noun	Samson p324 [unknown/low]
gloria		noun	Samson p324 [unknown/low]
gloriapatri			Samson p324 [unknown/low]
glorieta		noun	Samson p325 [unknown/low]
gobernador		noun	Samson p325 [unknown/low]
gobernadorsilio		noun	Samson p325 [unknown/low]
gobierno		noun	Samson p325 [unknown/low]
gogo		N	PALI:gogo
gogobiernuan			Samson p325 [unknown/low]
goma		N	PALI:go’ma
gosu		N	PALI:go’su
govern			Samson p325 [dictionary_explicit/high]
gozo		noun	Samson p326 [unknown/low]
grabado		noun	Samson p326 [unknown/low]
grabador		noun	Samson p326 [unknown/low]
grabadura			Samson p326 [unknown/low]
gradas		noun	Samson p326 [unknown/low]
gradins			Samson p326 [unknown/low]
grado			Mirikitani p918 [unknown/low]
gradu		noun	Samson p326 [unknown/low]
graduasion		noun	Samson p326 [unknown/low]
graft			Samson p326 [unknown/low]
grama		noun	Samson p326 [unknown/low]
gramatika		noun	Samson p326 [unknown/low]
gramo		noun	Samson p326 [unknown/low]
gramofopo		noun	Samson p326 [unknown/low]
granada		noun	Samson p326 [unknown/low]
granate		noun	Samson p326 [unknown/low]
grande		adjective	Samson p326 [unknown/low]
grano		noun	Samson p326 [unknown/low]
granolitic		adjective	Samson p326 [unknown/low]
grasia		noun	Samson p326 [unknown/low]
grasioso		adjective	Samson p326 [unknown/low]
grava		noun	Samson p327 [unknown/low]
grave		adjective	Samson p327 [unknown/low]
gravedad		noun	Samson p327 [unknown/low]
gresia		noun	Samson p327 [unknown/low]
griego		noun	Samson p327 [unknown/low]
groseriya		noun	Samson p327 [unknown/low]
group			Samson p185 [dictionary_explicit/high]
grupu		noun	Samson p328 [unknown/low]
gruta		noun	Samson p328 [unknown/low]
guang		noun	Samson p328 [unknown/low]
guantes			Samson p328 [unknown/low]
guardia		noun	Samson p328 [dictionary_explicit/high]
guardya			Mirikitani p918 [unknown/low]
gubat		N	PALI:gu’bat
gubyernu		N	PALI:gubye’rnu
gugu		N	PALI:gu’gu
gugul		noun	Samson p329 [unknown/low]
guguling		noun	Samson p329 [unknown/low]
gugupu		D./St	PALI:gu’gupu’q
gugut		adjective	Samson p329 [unknown/low]
gula		noun	Samson p329 [unknown/low]
gulabe			Samson p329 [unknown/low]
gulait			Samson p329 [dictionary_explicit/high]
gulaman		noun	Samson p329 [unknown/low]
gulapayan			Samson p329 [dictionary_explicit/high]
gulape			Samson p329 [unknown/low]
gulasio			Samson p329 [unknown/low]
gulat		noun	Samson p329 [unknown/low]
gule			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gulgul			Samson p329 [unknown/low]
gulguria		noun	Samson p329 [dictionary_explicit/high]
guliac			Samson p329 [dictionary_explicit/high]
gulio			Samson p329 [unknown/low]
gulis		N	PALI:gu’lis
gulisac			Samson p329 [unknown/low]
gulisak		V	PALI:guli’sak
guliti			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
guliut			Samson p329 [unknown/low]
gulmuc		noun-verb	Samson p330 [unknown/low]
gulpi			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gulu		N	PALI:gulu’
gulud			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
guluk		N	PALI:guluk
gulung		noun	Samson p330 [dictionary_explicit/high]
gulung-gulungan			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gulunggulungan		N	PALI:gulunggulungan
gulut		N	PALI:gu’lut
gumamila		noun	Samson p330 [unknown/low]
gumbac		noun	Samson p330 [unknown/low]
gumgum		noun-verb	Samson p330 [unknown/low]
gumi		noun	Samson p330 [unknown/low]
gumuc			Samson p330 [unknown/low]
gumun		noun	Samson p331 [unknown/low]
guna		noun	Samson p331 [dictionary_explicit/high]
gunam			Samson p331 [unknown/low]
gunlas		verb	Samson p331 [unknown/low]
gunlut			Samson p331 [dictionary_explicit/high]
guno		adjective	Samson p331 [unknown/low]
gunting		N	PALI:gunti’ng
gupit			Samson p331 [dictionary_explicit/high]
gupu			Samson p331 [unknown/low]
gurami		N	PALI:gura’miq
guriun			Samson p331 [unknown/low]
gurul			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gurumeti		noun	Samson p331 [unknown/low]
gusal			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
gusali		noun	Samson p331 [unknown/low]
gusi		noun	Samson p331 [dictionary_explicit/high]
gustu		noun	Samson p331 [unknown/low]
gusut		adjective	Samson p331 [dictionary_explicit/high]
gutad		noun	Samson p331 [unknown/low]
gute			Samson p331 [unknown/low]
gutgut		adjective	Samson p332 [dictionary_explicit/high]
gutli		N	PALI:gutli’q
gutul			Samson p332 [unknown/low]
guwantis			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
guwapu			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
guyebnan		V	PALI:guye’bnan
guyud		N	PALI:guyu’d
gwantis		N	PALI:gwa’ntis
gwenabaya		N	PALI:gwenaba’ya
halimulmul		N	PALI:halimulmu’l
halus		adverb	Samson p334 [unknown/low]
hamaka		noun	Samson p334 [unknown/low]
hambug		V	PALI:-hambu’g
hapihapi		V	PALI:hapiha’pi
hapon			Samson p334 [unknown/low]
hardin		noun	Samson p334 [unknown/low]
hardinero		noun	Samson p334 [unknown/low]
harina			Samson p334 [unknown/low]
harmonia			Samson p334 [unknown/low]
harmonika		noun	Samson p334 [unknown/low]
harpa		noun	Samson p334 [dictionary_explicit/high]
hasmin			Samson p334 [unknown/low]
hasta			Samson p334 [unknown/low]
haula		noun	Samson p334 [unknown/low]
havanera		noun	Samson p334 [unknown/low]
hawai		noun	Samson p334 [dictionary_explicit/high]
hayag		noun	Samson p334 [dictionary_explicit/high]
head			Samson p332 [dictionary_explicit/high]
hebilia		noun	Samson p335 [unknown/low]
hebreo		noun	Samson p335 [unknown/low]
hebreos			Samson p335 [unknown/low]
hechafuera			Samson p335 [unknown/low]
hectaria		noun	Samson p335 [unknown/low]
heganagana			Samson p335 [unknown/low]
hele-hele		noun	Samson p335 [unknown/low]
hembra		noun	Samson p335 [unknown/low]
heneral			Samson p335 [unknown/low]
henio		noun	Samson p335 [unknown/low]
henuflecsion		noun	Samson p335 [unknown/low]
heografiya		noun	Samson p335 [unknown/low]
heraldika			Samson p336 [unknown/low]
heraldiko		adjective	Samson p336 [unknown/low]
heraldo		noun	Samson p336 [unknown/low]
herba			Samson p336 [unknown/low]
herbabuena			Samson p336 [unknown/low]
herbalista		noun	Samson p336 [unknown/low]
herbolario			Samson p336 [unknown/low]
heredero		noun	Samson p336 [unknown/low]
herehe		noun	Samson p336 [unknown/low]
herehia		noun	Samson p336 [unknown/low]
herensia		noun	Samson p336 [unknown/low]
heringilia			Samson p336 [unknown/low]
hermafrodita			Samson p336 [unknown/low]
hermafroditiko			Samson p336 [unknown/low]
hermandad		noun	Samson p336 [unknown/low]
hermano			Samson p336 [unknown/low]
hermaphrodites			Samson p336 [unknown/low]
herodes		noun	Samson p337 [unknown/low]
herodias		noun	Samson p337 [unknown/low]
heroe		noun	Samson p337 [unknown/low]
heroiko		adjective	Samson p337 [unknown/low]
heroismo		noun	Samson p337 [unknown/low]
herrero		noun	Samson p337 [unknown/low]
hibang			Samson p337 [unknown/low]
hibe		noun	Samson p337 [unknown/low]
hidalgo		noun	Samson p337 [unknown/low]
hidrauliko		noun	Samson p337 [unknown/low]
hidrofolio		noun	Samson p337 [unknown/low]
hidroplano		noun	Samson p337 [unknown/low]
hidropobia		noun	Samson p337 [unknown/low]
hielo		noun	Samson p337 [unknown/low]
hieroghfiko		noun	Samson p337 [unknown/low]
hieroglyphics			Samson p337 [unknown/low]
hierro		noun	Samson p337 [unknown/low]
hierros			Samson p337 [unknown/low]
higanti			Samson p338 [dictionary_explicit/high]
higera			Samson p338 [unknown/low]
hiho			Samson p338 [unknown/low]
hilacha		noun	Samson p338 [unknown/low]
hilado			Samson p338 [dictionary_explicit/high]
hilera		noun	Samson p338 [unknown/low]
hilig		noun	Samson p338 [unknown/low]
hilo		noun	Samson p338 [unknown/low]
hilut			PALI:hi’lut
himagsic			Samson p338 [unknown/low]
himate		noun	Samson p338 [unknown/low]
himnario		noun	Samson p338 [unknown/low]
himno		noun	Samson p338 [unknown/low]
hinabla			Samson p333 [dictionary_explicit/high]
hinakit			Samson p338 [unknown/low]
hinhin		noun	Samson p338 [unknown/low]
hiniebra			Samson p338 [dictionary_explicit/high]
hiperbole		noun	Samson p338 [unknown/low]
hiperdulia			Samson p338 [unknown/low]
hipocrisia		noun	Samson p338 [unknown/low]
hipocrita		noun	Samson p338 [unknown/low]
hipodromo		noun	Samson p338 [unknown/low]
hipopotamo		noun	Samson p338 [unknown/low]
hipostasis			Samson p338 [unknown/low]
hipoteka		noun	Samson p339 [unknown/low]
hipotesis		noun (OCR: printed as 'ft.')	Samson p339 [unknown/low]
hirasol			Samson p339 [unknown/low]
hisopo		noun (OCR: printed as 'ft.')	Samson p339 [unknown/low]
histeria		noun	Samson p339 [unknown/low]
histeriko		adjective	Samson p339 [unknown/low]
historiador		noun (OCR: printed as 'ft.')	Samson p339 [unknown/low]
historic		noun (OCR: printed as 'ft.')	Samson p339 [unknown/low]
historiko		adjective	Samson p339 [unknown/low]
history			Samson p339 [unknown/low]
hiyas			Samson p339 [unknown/low]
hoha			Samson p339 [unknown/low]
holanda		noun	Samson p339 [unknown/low]
holandesa			Samson p339 [unknown/low]
hombre		noun	Samson p339 [unknown/low]
homilia		noun (OCR: printed as 'ft.')	Samson p339 [unknown/low]
homisidio		noun (OCR: printed as 'ft.')	Samson p339 [unknown/low]
honda			Samson p339 [unknown/low]
honesto		adjective	Samson p339 [unknown/low]
honolulu			Mirikitani p918 [unknown/low]
honor		noun	Samson p340 [unknown/low]
honorable		adjective	Samson p340 [unknown/low]
honorario		adjective	Samson p340 [unknown/low]
honors			Samson p340 [unknown/low]
hopia			Samson p340 [unknown/low]
horas		noun	Samson p340 [unknown/low]
horizon			Samson p340 [unknown/low]
horizonte		noun	Samson p340 [unknown/low]
hornal		noun	Samson p340 [unknown/low]
horrible		adjective	Samson p340 [unknown/low]
horses			Samson p108 [dictionary_explicit/high]
hortelano		noun	Samson p340 [unknown/low]
hortikultura		noun	Samson p340 [unknown/low]
hospisio		noun	Samson p340 [unknown/low]
hostage			Samson p72 [dictionary_explicit/high]
hostia		noun	Samson p341 [unknown/low]
hostil		adjective	Samson p341 [unknown/low]
hostilidad		noun	Samson p341 [unknown/low]
hota			Samson p341 [unknown/low]
hototay			Samson p341 [unknown/low]
huad			Samson p341 [dictionary_explicit/high]
huang			Samson p341 [dictionary_explicit/high]
hubileo		noun	Samson p341 [unknown/low]
hueh			Samson p341 [dictionary_explicit/high]
huehuego			Samson p341 [unknown/low]
huelga		noun	Samson p341 [unknown/low]
huelgista		noun	Samson p341 [unknown/low]
huez			Samson p341 [unknown/low]
huido		noun	Samson p341 [unknown/low]
hukbu		noun	Samson p342 [unknown/low]
hula-hula		noun	Samson p342 [unknown/low]
humanidad		noun	Samson p342 [unknown/low]
humanidades		noun	Samson p342 [unknown/low]
humanitario		noun	Samson p342 [unknown/low]
humano		adjective	Samson p342 [unknown/low]
humedad		noun	Samson p342 [unknown/low]
humeral		noun	Samson p342 [unknown/low]
humor		noun	Samson p342 [unknown/low]
hural			Samson p342 [unknown/low]
huramentado		noun	Samson p342 [unknown/low]
husgado			Samson p342 [unknown/low]
hustifikasion		noun (OCR: printed as 'ft.')	Samson p342 [unknown/low]
hustisia		noun (OCR: printed as 'ft.')	Samson p342 [unknown/low]
hustisiero		adjective	Samson p342 [unknown/low]
husto		adjective	Samson p343 [dictionary_explicit/high]
huwebes			PALI:huwe’bes
i		N	PALI:iq
i-			Mirikitani p919 [unknown/low]
ibat			Kapampangan-English-Pilipino wordlist p30 [unknown/low]
ibe			PALI:i’be
ibpa			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
ibug			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
ibye			Mirikitani p910 [unknown/low]
idad			Mirikitani p919 [unknown/low]
igab			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
igi		N	PALI:igi’q
igit		adjective	Samson p347 [unknown/low]
igkas			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
iglip		D./St	PALI:-igli’p
igpa		Ibpa Mi ‘Our Father	PALI:igpa’q
igpit		V	PALI:igpit
igu		N	PALI:igu’q
igut			Samson p347 [dictionary_explicit/high]
igwal			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
ihs			Samson p347 [dictionary_explicit/high]
ika		Subs	PALI:i’ka
ikab		V	PALI:i’kab
ikami		Subs	PALI:ikami’
ikat		V	PALI:i’kat
ikatamu		pron	SEED-FUNC
ikayu		pron	SEED-FUNC
iki		N	PALI:i’kiq
ikiran			Samson p347 [unknown/low]
ikit			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
ikonio		noun	Samson p347 [unknown/low]
ikonoclasta		noun	Samson p347 [unknown/low]
ikonografiya		noun	Samson p347 [unknown/low]
ikum		noun-verb	Samson p347 [unknown/low]
ila		Subs	PALI:ila
ilac			Samson p347 [dictionary_explicit/high]
ili		See qili ‘laugh’. mayli, makakayli, pakailyan, ke:ilyan, mipakaili, makaili, makapakaili, maili, meili	PALI:ili’
ilib		N	PALI:ili’b
ilig		D	PALI:-i’lig
iling		verb	Samson p349 [unknown/low]
ilis			Samson p349 [dictionary_explicit/high]
ilisito		adjective	Samson p349 [unknown/low]
ilit			Samson p349 [dictionary_explicit/high]
ilo		noun	Samson p349 [unknown/low]
ilohiko			Samson p349 [unknown/low]
iloilo		noun	Samson p349 [unknown/low]
ilonggo			Samson p349 [unknown/low]
ilongot			Samson p349 [unknown/low]
ilu			Samson p349 [unknown/low]
ilug		N	PALI:i’lug
ilukanu			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
iluminasion		noun	Samson p349 [unknown/low]
ilup		noun	Samson p350 [unknown/low]
ilusion		noun	Samson p350 [unknown/low]
ilustrado		noun	Samson p350 [unknown/low]
ilustrador		noun	Samson p350 [unknown/low]
ilustrasion		noun	Samson p350 [unknown/low]
ilustre			Samson p350 [unknown/low]
ilustrisimo		adjective	Samson p350 [unknown/low]
ilut		noun	Samson p350 [dictionary_explicit/high]
ima			Samson p350 [unknown/low]
imahen		noun	Samson p350 [unknown/low]
imahinasion		noun	Samson p350 [unknown/low]
imalid		verb	Samson p350 [dictionary_explicit/high]
imbala		adverb	Samson p350 [unknown/low]
imbes			PALI:imbe’s
imbing			Samson p351 [dictionary_explicit/high]
imbita			Mirikitani p920 [unknown/low]
imbitasyon			Mirikitani p920 [unknown/low]
imbudu		N	PALI:imbu’du
imbuske			Samson p351 [unknown/low]
imbut		noun	Samson p351 [unknown/low]
imi		noun-verb	Samson p351 [dictionary_explicit/high]
immanuel			Samson p351 [unknown/low]
impedimento		noun	Samson p351 [unknown/low]
imperial		adjective	Samson p351 [unknown/low]
imperialismo		noun	Samson p351 [unknown/low]
imperialista		noun	Samson p351 [unknown/low]
imperio		noun	Samson p351 [unknown/low]
impis			PALI:impi’s
impit			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
impitu			Samson p351 [unknown/low]
importa			Mirikitani p920 [unknown/low]
imposible		adjective	Samson p351 [unknown/low]
impu			Samson p352 [unknown/low]
imu		V	PALI:imu’q
imut			PALI:-imu’t
ina		D	PALI:i’naq
inata		?	PALI:ina’ta
inchic			Samson p352 [dictionary_explicit/high]
inclinasion		noun	Samson p353 [unknown/low]
inclusivo		adjective	Samson p353 [unknown/low]
incredible			Samson p293 [unknown/low]
inda		noun	Samson p353 [unknown/low]
indac		noun	Samson p353 [unknown/low]
indam			PALI:indam
indayun		noun	Samson p353 [dictionary_explicit/high]
india		noun	Samson p353 [unknown/low]
indie		verb	Samson p353 [unknown/low]
indio		noun	Samson p353 [unknown/low]
indredus		endredista ‘a gossip’, kaindreduswan	PALI:indre’dus
indu		noun	Samson p354 [unknown/low]
indulhensia			Samson p354 [unknown/low]
indulto		noun	Samson p354 [unknown/low]
industria		noun	Samson p354 [unknown/low]
industrial		adjective	Samson p354 [unknown/low]
industrialismo		noun	Samson p354 [unknown/low]
industrialista		noun	Samson p354 [unknown/low]
ineti			Kapampangan-English-Pilipino wordlist p31 [unknown/low]
infalibilidad		noun	Samson p354 [unknown/low]
infalible		adjective	Samson p354 [unknown/low]
infalyible			Samson p354 [unknown/low]
infansia		noun	Samson p354 [unknown/low]
infanta		noun	Samson p354 [unknown/low]
infante		noun	Samson p354 [unknown/low]
infantisidio		noun	Samson p354 [unknown/low]
inferior		adjective	Samson p354 [unknown/low]
infidelidad		noun	Samson p354 [unknown/low]
infiernos		noun	Samson p354 [dictionary_explicit/high]
infinitivo		adjective	Samson p354 [dictionary_explicit/high]
