surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
nanan,reduplication,nanan,nan+an,nanan,nanan,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nan+an,nanan,na+nan,,,
kakanan,reduplication,kakan+an,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,kakanan,ka+kan+an,ka+kan+an,ka+kan+an,ka+kan+an,ka+kan+an,ka+kan+an,kakanan,,,
tatang,reduplication,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,tatang,,,
mamagus,reduplication,mamagus,mam+agus,mamagus,mamagus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mam+agus,mamagu+s,,,
susuyu,reduplication,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susu+yu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susu+yu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susuyu,,,
lalawan,reduplication,lalawan,lala+wan,lala+wan,lalawan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,lala+wan,la+lawan,,,
mamaus,reduplication,mamaus,mam+aus,mam+aus,mamaus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mam+aus,mama+us,,,
tatalakad,reduplication,tatalakad,tat+alakad,tat+alakad,tatalakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+alakad,tat+ala+kad,tat+ala+kad,tatala+kad,tata+lakad,,,
gagapang,reduplication,gagapang,gag+apang,gag+apang,gagapang,gag+apang,gag+apang,gag+apang,gag+apang,gag+apang,gag+apang,gag+apang,gag+apang,gag+apang,gaga+pang,gaga+pang,gaga+pang,ga+ga+pang,ga+gapang,ga+gapang,ga+ga+pang,ga+ga+pang,ga+gapang,ga+ga+pang,ga+ga+pang,ga+gapang,gaga+pang,,,
lalawe,reduplication,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,lalawe,la+lawe,,,
lulugud,reduplication,lulugud,lul+ugud,lul+ugud,lulugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lu+lugud,lu+lugud,lu+lugud,lulu+gud,lulu+gud,lulu+gud,lu+lugud,lu+lugud,lu+lugud,lu+lugud,,,
tutula,reduplication,tutula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tut+ula,tutu+la,tutu+la,tutu+la,tu+tula,tu+tula,tu+tula,tutu+la,tutu+la,tutu+la,tu+tula,tu+tula,tu+tula,tutu+la,,,
gagalo,reduplication,gagalo,gag+alo,gag+alo,gagalo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,gag+alo,ga+galo,ga+galo,ga+galo,ga+g+alo,ga+g+alo,gag+alo,ga+g+alo,ga+g+alo,ga+g+alo,gagal+o,,,
kukuldas,reduplication,kukuldas,kukul+das,kukul+das,kukuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,ku+kuldas,,,
tatas,reduplication,tatas,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,t+atas,t+atas,t+atas,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tat+as,tata+s,,,
gagalgal,reduplication,gagalgal,gag+al+gal,gag+al+gal,gagalgal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,gag+al+gal,ga+gal+gal,ga+gal+gal,ga+galgal,ga+g+al+g+al,ga+g+al+g+al,gag+al+g+al,ga+g+al+g+al,ga+g+al+g+al,ga+g+al+g+al,gagal+gal,,,
sasalikut,reduplication,sasalikut,sas+alikut,sas+alikut,sasalikut,sas+ali+kut,sas+alikut,sas+alikut,sas+ali+kut,sas+alikut,sas+alikut,sas+ali+kut,sas+alikut,sas+alikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+sali+kut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,,,
yuyutus,reduplication,yuyutus,yu+y+utus,yu+yutus,yu+yutus,yu+y+utus,yu+yutus,yu+yutus,yu+y+utus,yu+yutus,yu+yutus,yu+y+utus,yu+yutus,yu+yutus,yu+yu+tus,yu+yutus,yu+yutus,yu+yu+tus,yu+yutus,yu+yutus,yu+yu+tus,yu+yutus,yu+yutus,yu+yu+tus,yu+yu+tus,yu+yutus,yu+y+utus,,,
lalapit,reduplication,lalapit,lal+apit,lalapit,lalapit,lal+apit,lal+apit,lal+apit,lal+apit,lal+apit,lal+apit,lal+apit,lal+apit,lal+apit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,lala+pit,la+lapit,,,
mamamate,reduplication,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mam+amate,mam+amate,mamamate,mama+mate,,,
sasalpantaya,reduplication,sasalpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sas+alpantaya,sa+salpantaya,sa+salpantaya,sa+salpantaya,sa+sal+pantaya,sa+sal+pantaya,sa+salpantaya,sa+sal+pantaya,sa+salpantaya,sa+salpantaya,sa+salpantaya,sa+salpantaya,sa+salpantaya,sasa+lpantay+a,,,
bebe,reduplication,bebe,b+ebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,bebe,,,
gagalang,reduplication,gagalang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,gag+alang,ga+galang,ga+galang,ga+galang,ga+galang,ga+galang,ga+galang,ga+galang,ga+galang,ga+galang,gaga+lang,,,
gagawa,reduplication,gagawa,gag+awa,gag+awa,gagawa,gaga+wa,gaga+wa,gagawa,gaga+wa,gaga+wa,gagawa,gaga+wa,gaga+wa,gagawa,gaga+wa,gaga+wa,gagawa,ga+gawa,ga+gawa,gagawa,ga+gawa,gagawa,gagawa,ga+gawa,gagawa,gagawa,gagawa,,,
sasabian,reduplication+suffixation,sasabi+an,sasabian,sasabian,sasabian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabi+an,sa+sabi+an,sa+sabi+an,sa+sabian,sa+sabian,sa+sabian,sasabian,,,
mamangan,reduplication+suffixation,ma+mangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,ma+mangan,,,
sasabyan,reduplication+suffixation,sasaby+an,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,,,
sasamban,reduplication+suffixation,sasamb+an,sas+amban,sas+amban,sasamban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+samban,,,
gugulutan,reduplication+suffixation,gugulut+an,gug+ulutan,gug+ulutan,gugulutan,g+ug+ulut+an,gug+ulut+an,gug+ulut+an,g+ug+ulut+an,gug+ulut+an,gug+ulut+an,g+ug+ulut+an,g+ug+ulut+an,gug+ulut+an,g+ug+ulut+an,g+ug+ulut+an,gug+ulut+an,g+ug+ulu+tan,g+ug+ulu+tan,gug+ulu+tan,gu+gulut+an,gu+gulut+an,gu+gulut+an,gu+gu+lutan,gu+gu+lutan,gu+gu+lutan,gugul+utan,,,
naman,suffixation,nam+an,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,,,
balayan,suffixation,balay+an,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,,,
dalan,suffixation,dal+an,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,dalan,,,
arapan,suffixation,arap+an,arapan,arapan,arapan,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arap+an,arapan,,,
sabian,suffixation,sabi+an,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,sabian,,,
dewakan,suffixation,dewak+an,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewakan,dewaka+n,,,
depatan,suffixation,depat+an,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depatan,depat+an,,,
daptan,suffixation,dapt+an,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,daptan,,,
purian,suffixation,puri+an,p+urian,purian,purian,p+urian,purian,purian,p+urian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,purian,puri+an,,,
laman,suffixation,lam+an,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,laman,,,
sikanan,suffixation,sikan+an,sikanan,sikanan,sikanan,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikan+an,sikanan,,,
laban,suffixation,lab+an,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,laban,,,
tuntunan,suffixation,tuntun+an,t+untunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntunan,tuntun+an,,,
kawan,suffixation,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,kawan,ka+wan,kawan,kawan,ka+wan,kawan,kawan,kawan,kawan,kawan,ka+wan,,,
bulan,suffixation,bul+an,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,bulan,,,
misan,suffixation,mis+an,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,misan,,,
wanan,suffixation,wan+an,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,wanan,,,
sisuan,suffixation,sisu+an,sis+uan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,sisuan,s+isuan,,,
tipan,suffixation,tipan,t+ipan,t+ipan,tipan,t+ipan,t+ipan,t+ipan,t+ipan,t+ipan,t+ipan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+pan,ti+p+an,ti+p+an,ti+p+an,ti+pan,,,
gawan,suffixation,gaw+an,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,,,
nangan,suffixation,nang+an,nangan,nangan,nangan,nangan,nangan,nangan,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nang+an,nangan,nangan,nangan,nangan,nangan,nangan,nang+an,,,
canaan,suffixation,canaan,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,c+ana+an,cana+an,cana+an,cana+an,cana+an,cana+an,cana+an,cana+an,cana+an,cana+an,ca+na+an,,,
larawan,suffixation,laraw+an,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,larawan,,,
bandian,suffixation,bandi+an,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,band+ian,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,bandi+an,,,
tuparan,suffixation,tupar+an,tu+paran,tu+paran,tuparan,t+uparan,t+uparan,tuparan,t+uparan,t+uparan,tuparan,tu+paran,tu+paran,tuparan,tu+paran,tu+paran,tuparan,tu+paran,tu+paran,tuparan,tu+paran,tu+paran,tuparan,tu+paran,tuparan,tuparan,tu+paran,,,
angganan,suffixation,anggan+an,angganan,angganan,angganan,angg+anan,angg+anan,angg+anan,angg+anan,angg+anan,angg+anan,angg+anan,angg+anan,angg+anan,ang+gan+an,ang+gan+an,ang+ganan,ang+gan+an,ang+gan+an,ang+ganan,ang+gan+an,ang+ganan,ang+ganan,ang+g+anan,ang+g+anan,ang+ganan,angganan,,,
jordan,suffixation,jord+an,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,jor+dan,j+ord+an,j+ord+an,j+ord+an,jo+r+d+an,,,
tanaman,suffixation,tanam+an,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,tanaman,,,
bunduk-bundukan,suffixation,bunduk-bunduk+an,bunduk+-+bunduk+an,bunduk+-+bunduk+an,bunduk-bundukan,bunduk+-+bunduk+an,bunduk+-+bunduk+an,bunduk-bundukan,bunduk+-+bunduk+an,bunduk+-+bunduk+an,bunduk-bundukan,bunduk+-+bunduk+an,bunduk+-+bunduk+an,bunduk-bundukan,bunduk+-+bun+du+kan,bunduk+-+bundu+kan,bunduk-bundukan,bunduk+-+bun+du+kan,bunduk+-+bundu+kan,bunduk-bundukan,bunduk+-+bundu+kan,bunduk+-+bundu+kan,bunduk-bundukan,bun+duk+-+bun+du+kan,bun+duk+-+bundu+kan,bunduk-bundukan,bunduk+-+bunduk+an,,,
damdaman,suffixation,damdam+an,damdaman,damdaman,damdaman,dam+daman,dam+daman,dam+daman,dam+d+aman,dam+d+aman,dam+d+aman,dam+daman,dam+daman,dam+daman,damdam+an,damdam+an,damdam+an,damdam+an,damdam+an,damdam+an,dam+daman,dam+daman,dam+daman,damdam+an,damdam+an,damdam+an,damdam+an,,,
lawan,suffixation,law+an,lawan,lawan,lawan,la+wan,la+wan,lawan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,la+wan,lawan,,,
ganakan,suffixation,ganak+an,gan+akan,gan+akan,ganakan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,ganakan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,gan+akan,ganakan,,,
kuanan,suffixation,kuan+an,ku+anan,kuanan,kuanan,ku+anan,kuanan,kuanan,ku+anan,kuanan,kuanan,kuanan,kuanan,kuanan,ku+anan,ku+anan,kuanan,ku+anan,ku+anan,kuanan,ku+anan,ku+anan,kuanan,ku+anan,ku+anan,kuanan,kuanan,,,
leguan,suffixation,legu+an,leg+uan,leguan,leguan,leg+uan,leguan,leguan,leg+uan,leguan,leguan,le+guan,leguan,leguan,leguan,leguan,leguan,leguan,leguan,leguan,le+guan,leguan,leguan,le+guan,leguan,leguan,legu+an,,,
daraptan,suffixation,darapt+an,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,daraptan,,,
aslagan,suffixation,aslag+an,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,aslagan,,,
lelangan,suffixation,lelang+an,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,lelangan,,,
sugatan,suffixation,sugat+an,sug+atan,sug+atan,sugatan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sug+atan,sugat+an,sugat+an,sugat+an,sug+at+an,sug+at+an,sug+atan,sugat+an,sugat+an,sugat+an,sugat+an,,,
luklukan,suffixation,lukluk+an,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,lukluk+an,,,
tuknangan,suffixation,tuknang+an,tuknangan,tuknangan,tuknangan,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknang+an,tuknangan,,,
ausan,suffixation,aus+an,ausan,ausan,ausan,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,aus+an,ausan,,,
daralan,suffixation,daral+an,daralan,daralan,daralan,d+aralan,d+aralan,d+aralan,dar+alan,dar+alan,dar+alan,dar+alan,dar+alan,dar+alan,daral+an,daral+an,daral+an,da+ralan,da+ralan,da+ralan,da+ralan,da+ralan,da+ralan,da+ral+an,daralan,daralan,daralan,,,
lipulan,suffixation,lipul+an,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ulan,lip+ul+an,lip+ul+an,lip+ulan,li+pul+an,li+pul+an,li+pulan,lip+ul+an,lip+ulan,lip+ulan,li+pul+an,li+pul+an,li+pulan,lip+ulan,,,
timan,suffixation,tim+an,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,timan,,,
sangkan,suffixation,sangk+an,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,sangkan,,,
legwan,suffixation,legw+an,leg+wan,legwan,legwan,leg+wan,legwan,legwan,leg+wan,legwan,legwan,leg+wan,legwan,legwan,leg+wan,legwan,legwan,leg+wan,legwan,legwan,leg+wan,legwan,legwan,leg+wan,legwan,legwan,legwan,,,
kanan,suffixation,kan+an,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kanan,kan+an,kan+an,kan+an,kan+an,kan+an,kan+an,kanan,,,
luguran,suffixation,lugur+an,lug+uran,luguran,luguran,lug+uran,luguran,luguran,lug+uran,luguran,luguran,lug+uran,luguran,luguran,lug+uran,luguran,luguran,luguran,luguran,luguran,luguran,luguran,luguran,luguran,luguran,luguran,luguran,,,
mitagan,suffixation,mitag+an,mit+agan,mitagan,mitagan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mit+agan,mi+tagan,mi+tagan,mi+tagan,mi+tagan,mi+tagan,mi+tagan,mi+tagan,mi+tagan,mi+tagan,mitagan,,,
sabyan,suffixation,saby+an,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,sabyan,,,
atulan,suffixation,atul+an,atulan,atulan,atulan,at+ulan,at+ulan,at+ulan,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,atul+an,at+ul+an,at+ul+an,at+ulan,atulan,,,
basan,suffixation,bas+an,b+asan,b+asan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,basan,bas+an,,,
beluan,suffixation,belu+an,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,beluan,belu+an,,,
durulukan,suffixation,duruluk+an,dur+ul+ukan,dur+ul+ukan,durulukan,d+ur+ul+ukan,dur+ul+ukan,dur+ul+ukan,d+ur+ul+ukan,dur+ul+ukan,dur+ul+ukan,d+ur+ul+uk+an,dur+ul+ukan,dur+ul+ukan,d+ur+ulu+kan,dur+ulu+kan,dur+ulu+kan,dur+ulu+kan,dur+ulu+kan,dur+ulu+kan,dur+ulu+kan,dur+ulu+kan,dur+ulu+kan,du+ru+lu+kan,du+ru+lu+kan,du+ru+lukan,duru+luk+an,,,
kutkutan,suffixation,kutkut+an,kutkutan,kutkutan,kutkutan,kut+ku+tan,kut+ku+tan,kut+kutan,kut+ku+tan,kut+ku+tan,kut+kutan,kut+ku+tan,kut+ku+tan,kut+kutan,kutkut+an,kutkut+an,kutkut+an,kutkut+an,kutkut+an,kutkut+an,kut+ku+tan,kut+kutan,kut+kutan,kutkut+an,kutkut+an,kutkut+an,kutkutan,,,
likwan,suffixation,likw+an,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,lik+wan,likwan,lik+wan,,,
santungan,suffixation,santung+an,sant+ungan,sant+ungan,santungan,sant+ungan,sant+ungan,sant+ungan,sant+ungan,sant+ungan,sant+ungan,san+tung+an,santung+an,santung+an,san+tung+an,santung+an,santung+an,santung+an,santung+an,santung+an,san+tung+an,san+tung+an,santung+an,san+tung+an,santung+an,santung+an,santung+an,,,
keraklan,suffixation,kerakl+an,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,,,
